,문장
976,히죄가 떠봤자 좁은 좌파 유튭에서 아님 ? 가세연이 우파 유튭에서 젤 잘나갔지만 주류 제도권에서는   안됐음 근데 히죄가 좌파 유튭 원탑도 아니고 정당에서 불러주나 공중파에서 서로 나오라고 하나 진중권이 네임밸류는 아직 더 있음 ㅋ 이게 뜬거라면 그동안은 히죄가 별볼일 없었단거지 다중아
977,변희재가 조중동 공중파 빨아주고 포털 빨아주면 그들이 변희재를 당장 부른다.장사해먹기는 진중권 이상이고 좋잖아.
978,전광훈한테 받은 용돈은 갚았다냐?
979,좌우를 모두 둘러본 구도여행을 마친 선재동자가변희재이거늘.
980,천재는 망상가 몽상가야 모두.변희재의 뇌피셜을 마음껏 즐기라고.
981,1위 언제 등극했는데? 환각증세 심각하네 ㅋ 좌파에서 쫓겨날걸 늘 걱정해야 겠던데?  ㅋㅋㅋ
982,별미친ㅋㅋ
983,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
984,가래건희 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
985,나이가 50이여~
986,ㅋㅋ나가요 출신
987,댓글 공작으로 악명 높던 '국정원 심리전단'이 바로 이 3차장 밑에 있었다고 허더라
988,컨트롤 타워는 국방부도 아니고 대통령실이다.대통령실이 책임을 해피하려는 방도로 꼬리자르기 식으로 조무래기 국정원 차장급 인물을 부각시키는 것 같다.
989,"윤석렬 ,  이젠 독도까지 넘겨주네친일파 행각이 너무 노골적이야  - dc App"
990,====(심층) 美 싱크탱크의 한반도 전쟁 경고!신인균의 국방TV구독자 121만명1시간 전.....https://youtu.be/5Qikr1O-PrE
991,군인?ㅋㅋㅋㅋㅋㅋㅋㅋ 저출산시대에먼군인저출산1위 ㅡ> 군인수세계최저 군대유지불가 징용미화이제그만
992,"윤석렬 똘만이들, 지들이 들어갈 자리 잘 다듬어 놓겠다 이거지  - dc App"
993,세기와더불어북화혁명당 & 중공의힘의 연쇄부정선거반란 프로레스링 야바우사기판인 한국정치판
994,한마디로 역대급 개새끼
995,팩트폭격 오지네  - dc App
996,특검을 민주당이 지정하니까 거부하지  유사이래 그런적없음  - dc App
997,ㅋㅋㅋㅋ  - dc App
998,그래서 뭐? 어쩌라고? 7년을 그렇게 당하고도 변과 황을 모르겠냐?그냥 망상 소설이다! 등신아! 등신아! 상등신아~이젠 거짓말 하는 변히재도 나쁜놈이지만 7년째 속고있는 너희같은 망구들이 더나쁘다 ㅉㅉㅉ
999,ㅅㅅ
1000,맞는말하노  - dc App
1001,2찍 틀딱 ㅋㅋㅋㅋㅋㅋ
1002,대구 사는 70대 한가발할매충들이 슬퍼합니다
1003,검찰출신이 저리 법을 몰라서야 쓰나?
1004,한꽃게 ㅋㅋㅋㅋㅋㅋ
1005,센징이 독도라 부르는 다케시마 일본고유영토인데
1006,경찰이 유출 안한 수사 정보 및 개인 톡 내용이 기사화 되었다?그럼 기레기들 구속 수사 안 하나?
1007,전과.6범의...진술을...비판하고....까는....뉴스기사가....1도..없는언론들과....검찰공화국 수준..
1008,개보지년 니애미만할까  - dc App
1009,헨델님 저놈 통매음하고 어머니 명예훼손으로 고소하세요
1010,그 변가는 좌우 제도권 필드 모두에게 버림받은 일개 망상찌라시 틀튜버 ㅋ
1011,조경태는 김포서울 편입말 나오자마자 바로 부산에 플랜카드 걸었음 ㅋㅋㅋ
1012,윤석열에 줄선 놈들 다 뒈지는거
1013,문재앙독재정권에 희생당한 노회찬의원이나 살려내
1014,"상등신아!코로 수면제 흡입하는 사람이 어디있냐?난 이선균 찐 팬이지만, 참고로 내 인생 드라마가 나의 아저씨다!하지만, 마약은 무조건 엄벌하는게 맞다!!!안타까운건 연기력과 인간성이 워낙 좋아서 자숙하다가 다시 출연해도 된다 생각했는데.... 암튼 삼가 고인의 명복을 빕니다!"
1015,"하여간 좌빨넘들은  사회악이야,  암덩어리고  이런것들이  대한민국을 멍들게 한다."
1016,"====한동훈 비서실장 김형동의원 ..."" 부인은 중국인? 장인은 공산당원? 민노총 간첩과 친구, 박근혜 탄핵 찬성, 문재인 당선 축하""성창경TV구독자 80.7만명5시간 전....https://youtu.be/HyYW-Sw4qXg"
1017,꾸기 이색이 또 시체 파묵을라카노  - dc App
1018,경찰은 행안부 소속이라니깐 국장선에서 정리하겠지
1019,법무부 엮을 생각마라 검찰이랑 경찰은 소속이 다르다
1020,좌빨넘들은   자기한테 이익이다 생각되면  남에 죽음  이용하는데 전문이지.
1021,이재명 탓 하던 2찍들이 할 소리는 아니지..
1022,이 드라마 보고 싶어지네 ㅋㅋㅋㅋㅋ
1023,개
1024,딸
1025,개딸 들 솔직히 최민희 저게 국회의원 문장이냐? 뱃지 달고 있으니 한줄 언급한게 제주 해녀 양말 냄새나지 않냐? 정말 저렇게 페이스 질 하는게 국회의원이냐?
1026,전에 국힘 이은재랑 맞먹
1027,대한민국 정치인이 대중연설에서 저 제스처를 하다니.....중2같네ㅋㅋㅋㅋㅋㅋ
1028,엄중한 출정식에서 도대체 뭐하는 짓이야
1029,아재밌다  - dc App
1030,찢주당 음주운전분과 청년최고위원이라도 시켜줘라
1031,ㄴ 나건들면 지하실 ㅋㅋㅋㅋㅋㅋ  - dc App
1032,역시 변희재 정확히게 평론하네
1033,내가 장담컨데 한두달안에 변희대 때문에 개싸움난다 ㅋㅋㅋ 변희재는 가까이 두는게 아니란다!
1034,정확하다
1035,ㅋㅋㅋㅋㅋㅋ
1036,고발사주에 이은 민원사주 ㅋㅋㅋ
1037,사주정부로 기록되는 윤석열 용산전체주의 정권?ㅋㅋㅋㅋ
1038,이거 특검 갈 사안이네
1039,손준성인가? 생각나네
1040,고발사주 명분이 없으니 억지로 만들자_검찰 하나회
1041,니가 곧 국민의 짐이다 - dc App
1042,토착 왜구만 부들부들ㅋㅋㅋㅋ
1043,정계 은퇴 선언인가?ㅋㅋ
1044,"지역구 의원 -> 지면 개망신, 이기자니 선거 경험이 없어 쫄림비례대표 의원 -> 남들이 ""쫄렸나?"" 라고 물어볼게 두려움이러니 그냥 총리->대선후보로 2인자 코스 밟겠다?"
1045,케비닛 보궐 노릴 듯...
1046,돈 몇백이 아까워서 위장전입하는 집구석인데 공공선 좋아하네?
1047,돈 봉투 부스거리는 소리만으로도 빼박 뇌물수수증거라던 사람이...명품가방 받는 장면이 나오는 동영상은 몰카공작이라고?ㅋㅋ
1048,변희재는 그냥 밥벌이를 원했던거지.
1049,결혼으로 변망구조차 영업 안되서 초조해 보이는 생계형 청치주변인..
1050,히죄도 권력에 빌붙거나 권력을 이용하려고 해 좌파 있을 때 부터 일관적으로 그래왔음  근데 지 그런 의도를 잘 덮으며 운신하고 또 능력 안돼서 권력에 줄이 잘 안닿으니 권력과는 인연 없는 권력에 관심없는 인간으로 착각되는거야 그런데 태블릿도 늘 그 반대되는 권력에 붙어서 이용하려하거나 지도 권력을 이뤄보려고 용썼음 그게 잘 안됐을 뿐 그리고 히죄 따위와 박대통령은 이런 걸로 비교될 수가 없음 운신했던 세계와 내공 정치경험 가봤던 세계가 히죄 따위와
1051,그래서 박근혜 권력 되찾음? 그럴 가망성이라도 있음? 윤석열이랑 하하호호 하다가 결국 한동훈한테 짓밟히는 수준 ㅉ
1052,더듬어투기당 김건희 7초매매가능한 슈퍼개미 스캘핑고수라 주장하는중ㅋㅋㅋㅋㅋ개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1053,"더불어 범죄 절라도당과   맹목적으로 지지하는  잘 사육된  가축들의  주둥이로 민주, 공정, 외치지 말아라."
1054,문재앙이 영끌하라고 부추겨 주식투자자 천만넘는데 김건희7초매매 믿으란다ㅋㅋㅋㅋㅋ김건희특검 얘기할때마다 빵터짐.김건희가 박호두랑 지금이니 이거 한번만 해주면 좋겠음
1055,비추봐라 ㅋㅋㅋㅋ윤석열 장모 '통장 사본 위조' 징역 1년이 중형이냐?ㅋㅋㅋㅋㅋㅋㅋㅋ
1056,부모님 등골 빼먹고 민주당 이재명 욕이나 하고 윤두창 빠는 너희 두창견놈들 나중에 니들이 저소득층으로 전락해서 저런 어려움 안겪는다고 보장 할수 있어?
1057,야 적어도 문재인 이재명 민주당은 윤두창 처럼 저런짓은 안해
1058,왜 과거 이회창 한나라당 지지자였던 내가 국민의 힘과 조중동에 등을 돌렸는지 아직도 모르겠냐?
1059,윤석열이 가장 싫어하는 사람이 전두환이고 하나회 정리한것도 보수 문민정부였는데 천만관객 넘으면 선거에서 민주당이 유리하냐?희망회로 열심히 돌려라ㅋㅋㅋㅋㅋㅋ국민들은 부동산가격 폭등과 전세사기 재앙 안긴 문재인과 민주당 아직 잊지 않고 있다
1060,절라도것들 단체 관람 했냐?
1061,국짐갤 선전 선동 지시 조작 떨어졌드라 각종 커뮤에???
1062,와 ㄷ ㄷㄷ
1063,찢 구라 여론조사부터 다 조사해봐야 ㅉㅉ
1064,김건희 녹취록에 지가 웬만한 무당보다 잘본다고 했었는데 아마 윤석열한텐 도사나 무당급 존재일듯
1065,하나하나 다 추방시킨 변희재의 뛰어낫 용병술 아냐?
1066,변이 저 둘다 유튜브 퇴출시킨건 앎?
1067,저땐 안정권이 학력 경력 속인거 아무도 몰랐을때임. 홍지수도 의심없이 안정권 방송 합방했을때
1068,2찍들 정신승리하자마자 2무룩 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1069,네덜란드 국빈 방문 효과가  드디어  나왔네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1070,반도체 동맹 문서에 잉크도 안 말랐겠네ㅋㅋㅋㅋㅋㅋㅋㅋ
1071,ㅋㅋㅋㅋ 사스가 두창이
1072,그들의 세계에 갇혀 산다치워버려야할 것들
1073,ㅋㅋㅋ 그렇게 열심히 빨아줬건만 돌아온건 ㅉㅉ
1074,니들도 그냥 민영화 하고 광고 존나 받아라 ㅋ
1075,"윤적윤, 윤석열의 적은 윤석열ㅋㅋㅋㅋㅋㅋㅋ"
1076,입으로 흥한 자 입으로 망하리
1077,이재명 악마화의 원흉?
1078,ㄹㅇ
1079,한동훈 ??총선 끝나면 정치생명 끝  - dc App
1080,진짜 밥맛떨어지는  일화네ㅋㅋ
1081,인생에 단 한번이라도 서민(?)이였던 적이 있었을까?서민을 입에 담는다는게 좀 가소롭네ㅋㅋ
1082,그때나 지금이나 언행 일치 안되는건 똑같군요
1083,서울대 출신은 민간인납치고문사건 일으킨 똥팔육만 거르면 됨
1084,두창견들 날뛸때마다 보여주자 이거
1085,가발새끼 아구창을 그냥 확시발 처날리고 싶네
1086,김히 누구한테 더러운 주둥아리 처놀리노 더러운 룸빵폭탄주 개새끼들
1087,역사상 가장 클린하고 안티였던 놈들조차 박통 애국심 진정성은 다들 인정할 정도로 인기 영합 하지 않고 개혁을 하려다 더러운 적폐들한테 통수 당한 비운의 지도자
1088,개시발 더러운 양말 폭탄주룸빵 새끼들 진짜 토악질 나온다 아오
1089,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1090,ㅋㅋㅋ
1091,장원이오
1092,이새끼는 너무 깐족대서 어르신들 눈 밖에 남  - dc App
1093,동훈이 치부 언론에서 많이 감춰줬쟈?인쟈는 네 시간이다 마음껏 깝싸놔라 윤석열 말미가 본인 시작일지 보게
1094,시발 아수란줄
1095,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1096,나 2찍인데 버얼써 정신 차렸다한동훈 비대위면 이번 총선 개폭망  - dc App
1097,위기 상황에 위기촉발자를 비대위원장으로 - dc App
1098,"한동훈 잘 봐둬라제 2의 노태우 ㅋㅋ원석렬 뒤통수 깐다, 반드시 꼭  - dc App"
1099,항문견들 댓글이 없네
1100,권익위원장 겸직 방통위원장 후보가 개검 출신 행동대장이라 에휴..
1101,하루라도 빨리 검찰 수사권부터 없애야 하는데ㅋㅋ
1102,김건희 특검 가즈아
1103,김건희의 비데 위원장 ㅋㅋㅋㅋㅋㅋ
1104,실베 보내야 한다.  - dc App
1105,몰카에 찍히면 공작이라는 공식을 만든 한동훈. 억지가 아니면 김건희 방어가 안 되나벼~  - dc App
1106,ㅋㅋㅋㅋ 패소할 결심 ㅋ  - dc App
1107,2찍들이 미친X이라서 알면서 찍어 준 ㅂㅅ
1108,대가리 깨진 2찍들 천지네ㅋㅋㅋ
1109,하....
1110,무능한 한동훈이 국힘 비대위원장을 한다고?ㅋㅋ
1111,AI 판사를 도입해야 하는 이유
1112,ㅋㅋ
1113,합법적 살인마 검새
1114,송영길이 미칠만 하네
1115,추미애 장관이 결국 옳았다는 게 증명될까?
1116,윤석열의 아킬레스건 일파만파 ㅋㅋㅋㅋㅋㅋ
1117,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1118,70대 이상 틀니층 씹.
1119,부정선거만 못하게 감시 철저하게 하자
1120,대구 경북은 뉴스 시청금지인거냐
1121,한동훈이 비대 위원장 하면  대통령이 국회 장악 하냐고 역풍 맞으면 총선 패배 ㅋㅋ
1122,홍준표는 무조건 자기 당 바판 한다 ㅋㅋㅋ노빠꾸임 ㅋㅋㅋ
1123,준표가 나서라
1124,민주당은 이번 총선에서 대승리하면 제발 윤두창 한뚜껑 국힘과 달리 페미만큼은 버렸으면 좋겠음 민주당은 페미만 버리면 그래도 무난한 당인데 말이지
1125,느그 이재명을 좀 보고.. ㅋㅋ
1126,똥돼지네 수석똥충견에 수석간첩인 재한조총련 의장 남로달곰문이한테 300m 경호의전을 하고있는 수석호위견 석열이임
1127,ㅇㅇ
1128,비위 증거도 못 냐는 검찰 따위..
1129,관상 봐라
1130,'민주주의와 민족통일을 위한 국민연합'
1131,세기와더불어뿌라스반란당&부역의마이나스힘의 뿌라스반란&마이나스부역 연쇄부정선거반란을 확증하는 뿌라스반란&마이나스부역 데칼코마니 그래프
1132,드가자 ㅋㅋㅋㅋ
1133,국민들이나...열심히...세금을...납부하라는 건가?
1134,"주가조작, 세금탈루, 뇌물수수… “윤 대통령은 이런데도  국민에게 성실히 세금을 납부하라고 말할 수 있는가.""https://v.daum.net/v/20231213162331676?f=o"
1135,법대로 처벌해야지
1136,김건희는 대선 앞두고 본인 관련 재산 59억? 신고 했으나건강보험료 납부액 월 7만원 대  로 기사 보도 됨.
1137,조세 포털이네 ㅋㅋ
1138,관심 꺼라  - dc App
1139,둘다 지겹다.서울구치소나 동반입소해라
1140,베충이가 걱정을 하는거냐 미친  - dc App
1141,언론이 무마시켜주니 완전히 아싸리판이구만돈봉투의혹 김현아. 황보승희(불륜의혹)
1142,재한조총련 혁명예술선전대 작품...
1143,북한찬양하면서 북한은 안가고 미국일본만 뻔질나게 돌아다님. 지들도 안가면서 북한찬양하면 사람들이 믿냐? 종북정신병자들 가족들 데리고 북으로 꺼져
1144,웃기는것은 진작일제강점기 섬나라 왜구와 군사독재 정권과 독재자로 부터개인의 자유 찾아준 독립열사와 민주화 세력을 뻘갱이라 매도하는 것이 현실..
1145,2찍은 민주주의를 추구하지 않고 권력과 이익만을 탐할 뿐...
1146,진짜 민주주의를 수호하면 좌빨인가? 그럼 우빨의 정체성은? 내로남불 국찢당
1147,과거 친일매국노들이엘리트주의로 똘똘 뭉쳐 자칭 보수 우파라고 전국민 상대로 가스라이팅 해왔지애국이 아니라 매국이겠지
1148,그러면서 보수우파라면서 패미니즘 동성애 다문화 트렌스잰더 미국 민주당 쳐빨자나
1149,팩트)) 일베들은 본인들이 모순인걸 모름 ㅋㅋㅋ
1150,빨갱이만도 못한 보수일베만도 못한 진보
1151,애꿎은 상인만 피해보네
1152,파는 음식에 젓가락으로 뭐하는짓인지
1153,시밬ㅋㅋㅋㅋㅋㅋㅋㅋ  - dc App
1154,대통령으로서 너무 경솔했네
1155,민심 살피러 시장 나갔다가 상인이 행정처분 받음 ㅋㅋㅋㅋ
1156,굿
1157,윤석열이가 나쁜거지  사장이 나쁜거냐 ㅋㅋ
1158,대한민국이 다 지 밥상 같을테지요.
1159,부디 저 결과가 2024년 총선의 실제 결과로 이어지기를...
1160,총선 ‘야당 승리해야’ 51%…尹 집권 후 최고치 [한국갤럽]https://v.daum.net/v/20231208111503273?f=o
1161,민심은 천심
1162,"그동안 중,러 무역으로 단물 빨아 경제 성장했으면서하루 아침에 반중친미 선봉대에 서서 빨갱이 논쟁으로 적국으로 돌렸으니"
1163,미국이 먼저 반도체 금지등 중국상대로 무역 전쟁 걸었으니미국 꼬봉국 한국은 지금 미국 속국 당하는중
1164,외교는 실리가 우선인데 멍청한 윤두창
1165,우마오당 주제에 뭔 궤변?목사는 정치 안하는 것이 죄다.그럼에도 전목사님은 직접 정치는 안하신다.이 빨갱이 우마오당 새끼.네 저주 열심히  불렀음을 알지어다.
1166,야 대깨윤 좌파스나이퍼도 반윤 됐더라 닌 언제 정신 차릴래? ㅋㅋㅋ
1167,1 2 3 4 전부
1168,Dior is Ready ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1169,탄핵에 빌미가 될 수 있으니 꼬리 자르기 하자는거 같은데...
1170,오뎅 만들어 어디 개밥으로 주면 잘먹을 듯
1171,두창이랑 두창견들 먹이자
1172,나라망신 ㅋㅋ
1173,윤두창이 병신인건 사실이지만 짱깨년들이 할 소린 아닌듯
1174,윤석열대통령 까는건 짱깨(와 그분들)뿐이노
1175,짱개년 오줌맥주처먹던 입으로 지껄이지마. 찌릉내나
1176,ㅋㅋㅋㅋ쥴리온냐 이쁘시긔
1177,근데 도청은 불법 맞는데 왜
1178,가방도 많고 돈도 많으니까 냅둬유
1179,응 최악의 경우 상정해본거야 민주당애들 저거보고 김칫국 설레발치는거 아니지
1180,국짐당 계속 헛발질만하니 민생 노동자 처우개선은 뒷전 어떻게든 공천에만 혈안되있음
1181,민주당 그래도 방심하지말고 만전을 기하여 윤두창과 국힘 개박살내자
1182,날짜랑 지 이름까지 써가서 베끼네ㅋㅋㅋ
1183,검사 맞아?
1184,머리는 폼일뿐..
1185,꼴통 인간은 개조가 안된다
1186,응 니망상  - dc App
1187,다 파헤치자
1188,어차피 윤석열은 대튱령이라  처벌 안 받음 ㅋㅋ
1189,소고기 943만원?
1190,이렇게 편안하게 얘기하기엔 자살자가 너무 많지 않아?  ㅎㅎ
1191,트럭이 1차선으로 왜 달렸는지 톨게이트도 1차선에서 통과했는지 밝혀. 1차선 트럭대 자가용 사망사고나면 교통법규지킨 자가용운전자는 뭐대냐
1192,이거 논란될 것 같더라니... 어휴... 무슨 망신이냐
1193,ㅈㄹ하다 역풍 맞겠네
1194,판매해야 하는 음식에다가 젓가락질 하면 어떡하냐 ㅡㅡ 저건 기본적인 상식 아닌가?
1195,"먹던 젓가락으로 뒤적뒤적 -,-"
1196,저러면 저 만두들 다 버려야됨
1197,사회화 덜된 놈 맞음
1198,포장마차 아줌마는 뭔 죄냐 대통령이 그러는데 ㅋㅋ
1199,또 윤두창 병신샠기 때문에 애먼 사람이 피해보나
1200,3차선서 트럭 바로 앞쪽서 달리던 대리기사와 1차선 트럭기사가 거의 동시에 좌와 우로 깜박이를 켜고 2차선서 충돌
1201,어디서 삿대질이야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1202,국가원수가 녹을 먹고 하는 일이 오ㅑ 이 모냥이누
1203,타국 대통령이 처벌 안 받지 일반인여봐 ㅋㅋㅋㅋ
1204,시바 대한민국이 군사력이 강해서 다행이제 ㅋㅋㅋㅋ
1205,책임 질 일 이 뭐 있누개돼지들 눈 다 가려버리면 그만인데~~~~~~
1206,6000억 ㅋㅋㅋㅋ허위사실유포 하셨네요
1207,오송치하차도 참사때 도지사 김영환 책임도 안 졌지 윗선은 수사 방해 하고
1208,국제행사 잼버리는 인당 참가비만 얼마인데 땡볕 아래 시설 하나 안 갖춰 그따위로 개최해 국제적으로 망신 키우더니 결국 엑스포 유치까지 대실패
1209,명언
1210,2021.12.10 대장동 의혹 유한기 자살2021.12.23 대장동 의혹 김문기 자살2022.01.12 이재명 의혹 제보자 이병철씨 의문사2022.07.27 김혜경 법인카드 참고인 의문사2023.03.09 이재명 전 비서실장 자살2023.09.20 민주당 김포시의원 의문사2023.12.06 대장동 핵심증인 유동규 교통사고
1211,"법원 ""김용, 이재명 대선 경선 준비 위해 정치자금 필요"" ㅋㅋㅋㅋㅋㅋ 김용 알리바이 ㅋㅋㅋㅋㅋㅋ 구라로 드러남"
1212,검새출신 국개면 국짐이네
1213,검사 출신 국힘쪽 5선 의원 아들
1214,몰카 아니고 잠입취재
1215,남은 임기 준비 ㅋㅋㅋㅋㅋ
1216,멀쩡한 사람 주변 털어서 자살로 몰아넣는 정치검찰을 먼저 해체하는 것이 더 시급하다
1217,당장 1년도 못내다보는 정부가 뭔 10년 계획을…개가 웃는다
1218,병신새끼
1219,윗놈들 부패에 국가의 심각한 구조가 문제인데 상담으로 자살 막겠다고? 여자들이나 그럴수 있겠지만
1220,긴머리 스녀
1221,나라 거덜나고 있는데 혈세 펑펑 사용하네
1222,에혀 - dc App
1223,35조원 하고 맞빠군게  대영제국 훈장 블랙핑크 ?ㅋㅋ
1224,제보자 말만 믿고 오늘 검찰이 경기도 압수수색 했었나?ㅋㅋㅋㅋㅋㅋㅋㅋ
1225,제보자와 국민의힘이 어떻게 붕짜자 붕짜 하는지 궁금하다
1226,하지만 동영상까지 있는 수백만원 명품 디올 받은 X 는 멀쩡한거 모르나?ㅋㅋㅋㅋㅋㅋㅋㅋ
1227,만덕산에서 또 내려 올 준비 하나?ㅋㅋㅋㅋ
1228,선거때 되니 각설이들 총 출동하나?ㅋㅋㅋㅋㅋㅋ
1229,그저 내각제 숨기고 선거제 개편 호소 ㅋㅋㅋㅋㅋㅋㅋㅋ이탄희 비롯 이 새끼들 잘 봐두면 그 끈이 어떻게 이어지는지 알게됨
1230,이놈이 이러니 수상
1231,지가 종로 버린것처럼 남들도 쉽게 버릴줄 아나보네ㅋㅋㅋㅋ
1232,안 사요 ㅋㅋㅋㅋㅋㅋㅋㅋ
1233,역시 호남이 버린 인물 답군ㅋㅋㅋㅋㅋ
1234,경기관광공사 사장 못먹으니 정신이 나갔네 쿠상이 ~ - dc App
1235,"얼마나 병신이면,  황교안을 빠네ㅋㅋ 장애인"
1236,태블릿은 못드는 병신조국
1237,공직자수사를 못하는 공수처 ㅋㅋ
1238,ㅋㅋㅋㅋㅋ  - dc App
1239,그래서 언제 잡혀감?
1240,아  정말 더러워서 ㅋㅋㅋㅋㅋㅋㅋㅋ
1241,담배 피나?ㅋ
1242,계집년이 가래는 왜이렇게 많이 나올까..? 담배도 피나 ㅋㅋ - dc App
1243,영부인도 사람인데 몰래찍어도 되냐 진짜 민주당 좌파새끼들 할줄아는게 저런거밖에 없지
1244,홍석현도 전라도니 윤석열도 전라도 똥 맞네
1245,"잘하는건  데모질, 파업질."
1246,경상도 찌그레기 ㅋ
1247,찐따 일베2찍 같은 ㄱ ㅐ소리하고 자빠졌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1248,맞는 말이오. ㅋㅋㅋㅋㅋ 전라인민공화국 독립 은제하노? - dc App
1249,저게 푸틴이 우리한테 줬던 마지막 최후 통첩이었던거지
1250,왜냐하면 러시아는 경제도 중요하기 때문에 한국과의 경제교류도 무시할수 없는 부분임. 그래서 한국이 러우전에서 중립 지키고 자신들을 비난하지 않고 젤린스키와 우크라이나 편을 들지 않았다면 러시아는 우리에 대한 경제제제도 하지 않았을거고 북한에게 일방적으로 기울지도 않았을거임. 그런데 그 기회를 차버린게 윤두창이지
1251,저때 이미 푸틴과 러시아는 우리한테 시간과 기회를 줬고 윤두창에게도 마지막 기회를 줬는데 바이든과 젤린스키한테 의존하면 다 될줄 알았던 희대의 멍청이 윤두창 때문에 결국 우리나라와 국민들이 타격을 입게 됨
1252,난 이미 저 시기때 이미 경고 했었음 똑바로 안하면 결국 한국이 타격받게 될거라는거 말이지
1253,판사 누고? - dc App
1254,김용 알리바이 ㅋㅋㅋㅋㅋㅋ 구라로 드러남 ㅋㅋㅋㅋ
1255,고소나 안당하면 당행인줄 알아라
1256,"선거는=직접참여 여론조사+당선자선출, 곧 날짜를 정해 직접참여하는 여론조사로 당선자를 뽑는 게 선거인 것"
1257,얜 독재가 뭔지도 모르는 애일듯ㅇㅇ  - dc App
1258,그러면서 김정은 문재앙 빨아대는 민주당수준 ㄷㄷㄷ해
1259,대통령도 탄핵하면 스스로 물러날지도 . 총선이 더욱 중요해졌네
1260,국회에서 탄핵 표결이 걸렸는데 사의표명하고 그걸 또 재가하면  직권남용 권리행사 방해 아닌가?
1261,이게 왜 인간이길 포기한거임 너 대깨문이냐? ㅋㅋㅋㅋㅋㅋㅋ
1262,박그네랑 즈그엄마 감옥 보낸 가발 수호 앞잡이가 됐노 ㅋㅋㅋㅋ
1263,진짜 정유라는 나이도 어린애가 저랬다는게 놀랍다
1264,캬
1265,짖어하면 개처럼 짖는대ㅋㅋㅋㅋㅋ유라 팩폭오지네ㅋㅋㅋㅋㅋ
1266,유라야 크게보자 좌빨들 더  휘둘리게 ㅋㅋㅋ
1267,한동훈과 관계 유무를떠나 테블릿이 조작 된건 맞구나
1268,테블릿에  조금이라도  삐끗한 말한 사람은  바로  원수 됨  김경제까지 ㅋㅋㅋㅋㅋㅋ
1269,1
1270,ㅛ룡
1271,료6ㄹ
1272,요ㅛㅇ
1273,료ㅛㄹ
1274,Yfd
1275,ㅅㅌㅌㅅ
1276,지가 남북관계 몰 하는데? 통일부가 봉으로 보이나  - dc App
1277,'부산을 점령하라'는 돼일성의 특명을 받고 남파된 남도부의 빨치산부대소굴엿던 신불산서 17년간 수행햇다는 염수수염 천공이....
1278,북한가서 땅투기하려고? 복부인
1279,토 나오네ㅣ
1280,유치하다 유치해 ㅋㅋㅋㅋㅋ
1281,이게 나라냐?
1282,"====제23대 신임 광복회장에 '尹의 친구 아버지' 이종찬 당선펜앤드마이크2023. 5. 25. — 여천홍범도장군기념사업회 이사장을 지내기도 한 이종찬 신임 회장은, 윤석열 대통령의 오랜 친구인 이철우 연세대학교 법학전문대학원 교수의 부친이기도 ...====낙방생 윤석열, 김선수의 사시 합격을 위해 이종찬을 만나다시사저널2021. 4. 2. — 김선수 대법관, 시위 전력으로 떨어질 뻔 ...거기서 선수를 만나 이종찬 의원 댁까지 걸어서 갔습니다......5공 시절 시위 경력자들의 사시 3차 통과 및 연수원 입소는 대부분 이종찬 의원이 하신 거라고 보면 될 겁니다.”....김선수는 사법연수원 시절....이 모임에서 만난 사람 중 한 명이 사법연수원 1년 후배인 중앙대 출신의 이재명...."
1283,이 짓 한 자들은 해고시켜야
1284,개나소나 유튜브로 뜨면 오징어 게임 인지도도 개ㅈ밥인데  저거 나이80이상 처먹은 정신병자짓인듯  - dc App
1285,2023부선엑스포 개최
1286,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1287,진짜 손절할거냐
1288,팩폭 ㅋㅋㅋㅋ
1289,이게 3개월전 보도인데정부와 국힘은 언론과 함께 진실은 모르쇠하면서 희망고문 했지?
1290,윤석열 뿐만 아니라 정부전체가 차단된 국제정보로 왜곡된 판단을 계속 하고 있다는 것...이 정부는 국정 모든 사안에서 올바른 판단을 못하는 시스템으로 돌아가고 있다는 것을 명확하게 보여주는 예....유치 성공이 중요한 것이 아니고 윤석열의 해외 순방을 정당화하기 위한 수단으로 사용한 것 같다.
1291,결국 전라도가 또 나라망친거네  - dc App
1292,살고 싶으면 2혼 추천한다 ㅋㅋㅋㅋㅋㅋㅋㅋ
1293,앞으로 뇌물 받고 걸릴 땐 반환 예정이라고 하면 무죄되겠네? ㅎㅎ
1294,내년 총선 국짐 29석이면 가관이겠군 ㄹㅇㅋㅋ
1295,이구이구.. 대단하다 ㅋㅋㅋㅋㅋ
